movie_id,title,rating,meta_score,year,revenue,director_id
178,the princess bride,8.0,78.0,1987,30861665,723.0
179,american beauty,8.3,84.0,1999,356296601,767.0
180,jurassic park,8.2,68.0,1993,920100000,829.0
181,heat,8.3,76.0,1995,187436818,587.0
182,léon the professional,8.5,64.0,1994,45284974,521.0
183,harry potter and the goblet of fire,7.7,81.0,2005,895921036,603.0
184,the menu,7.2,71.0,2022,79628200,538.0
185,expend4bles,4.8,30.0,2023,15000000,780.0
186,godzilla king of the monsters,6.0,48.0,2019,386600138,579.0
187,little women,7.8,91.0,2019,216601214,309.0
188,the killing of a sacred deer,7.0,73.0,2017,7027336,912.0
189,american psycho,7.6,64.0,2000,34266564,549.0
190,fred claus,5.7,42.0,2007,97838349,190.0
191,eyes wide shut,7.5,69.0,1999,162100000,810.0
192,eight crazy nights,5.3,23.0,2002,23833131,791.0
193,the sacrifice game,5.4,53.0,2023,0,380.0
194,beau is afraid,6.8,63.0,2023,10000000,63.0
195,django unchained,8.5,81.0,2012,425368238,698.0
196,harry potter and the deathly hallows part 2,8.1,85.0,2011,1341511219,210.0
197,schindlers list,9.0,95.0,1993,321365567,829.0
198,sing 2,7.4,49.0,2021,406000000,
199,the lord of the rings the return of the king,9.0,94.0,2003,1118888979,680.0
200,the departed,8.5,85.0,2006,291465000,548.0
201,promising young woman,7.5,72.0,2020,13868965,238.0
202,the night before,6.4,58.0,2015,52395996,452.0
203,bullet train,7.3,49.0,2022,239268602,198.0
204,the covenant,7.5,63.0,2023,37597471,314.0
205,kung fu panda,7.6,74.0,2008,631744560,
206,beauty and the beast,7.1,65.0,2017,1266115964,86.0
207,dont worry darling,6.3,48.0,2022,86669039,644.0
208,the little mermaid,7.2,59.0,2023,211343479,721.0
209,forrest gump,8.8,82.0,1994,677387716,740.0
210,noelle,6.3,48.0,2019,0,530.0
211,lucy,6.4,62.0,2014,458863600,521.0
212,there will be blood,8.2,93.0,2007,77208711,662.0
213,the santa clause 3 the escape clause,4.8,32.0,2006,84500122,586.0
214,avengers endgame,8.4,78.0,2019,2800000000,
215,jack frost,5.4,40.0,1998,0,886.0
216,vacation,7.3,55.0,1983,104384188,320.0
217,teenage mutant ninja turtles mutant mayhem,7.2,74.0,2023,172000000,
218,frozen,7.4,75.0,2013,1274219009,
219,no country for old men,8.2,92.0,2007,171627166,
220,raiders of the lost ark,8.4,86.0,1981,389925971,829.0
221,the hunger games mockingjay - part 2,6.5,65.0,2015,653428261,257.0
222,the matrix,8.7,73.0,1999,463517383,
223,american pie,7.0,58.0,1999,235483004,
224,no time to die,7.3,68.0,2021,774153007,122.0
225,watchmen,7.6,56.0,2009,185258983,917.0
226,apocalypse now,8.4,94.0,1979,150000000,256.0
227,tombstone,7.8,50.0,1993,56505065,
